date,home_team,score,away_team
26-12-2023,Reggiana,1 - 0,Catanzaro
12-01-2024,Catanzaro,5 - 3,Lecco
20-01-2024,Feralpisalo,3 - 0,Catanzaro
26-01-2024,Catanzaro,1 - 1,Palermo
03-02-2024,Spezia,1 - 1,Catanzaro
10-02-2024,Catanzaro,3 - 2,Ascoli
17-02-2024,Catanzaro,2 - 2,Sudtirol
24-02-2024,Cittadella,1 - 2,Catanzaro
27-02-2024,Catanzaro,2 - 0,Bari
03-03-2024,Cosenza,0 - 2,Catanzaro
09-03-2024,Catanzaro,0 - 1,Reggiana
16-03-2024,Brescia,1 - 1,Catanzaro
01-04-2024,Parma,0 - 2,Catanzaro
06-04-2024,Catanzaro,1 - 2,Como
12-04-2024,Modena,1 - 3,Catanzaro
20-04-2024,Catanzaro,0 - 0,Cremonese
26-04-2024,Pisa,2 - 2,Catanzaro
01-05-2024,Catanzaro,3 - 2,Venezia
05-05-2024,Ternana,1 - 0,Catanzaro
10-05-2024,Catanzaro,1 - 3,Sampdoria
18-05-2024,Catanzaro,? - ?,Brescia
20-08-2023,Cittadella,1 - 0,Reggiana
26-08-2023,Parma,2 - 0,Cittadella
30-08-2023,Bari,1 - 1,Cittadella
03-09-2023,Cittadella,0 - 0,Venezia
18-09-2023,Sampdoria,1 - 2,Cittadella
24-09-2023,Cittadella,0 - 3,Como
27-09-2023,Catanzaro,1 - 1,Cittadella
01-10-2023,Cittadella,2 - 1,Lecco
07-10-2023,Cittadella,2 - 2,Ternana
21-10-2023,Pisa,2 - 1,Cittadella
27-10-2023,Cittadella,1 - 2,Cremonese
04-11-2023,Cittadella,3 - 2,Brescia
12-11-2023,Palermo,0 - 1,Cittadella
25-11-2023,Cittadella,2 - 1,Sudtirol
02-12-2023,Feralpisalo,0 - 1,Cittadella
09-12-2023,Cittadella,2 - 0,Cosenza
16-12-2023,Modena,1 - 1,Cittadella
23-12-2023,Cittadella,4 - 1,Spezia
26-12-2023,Ascoli,0 - 0,Cittadella
13-01-2024,Cittadella,2 - 0,Palermo
20-01-2024,Ternana,3 - 1,Cittadella
28-01-2024,Cittadella,1 - 2,Sampdoria
03-02-2024,Brescia,2 - 0,Cittadella
10-02-2024,Cittadella,1 - 2,Parma
17-02-2024,Spezia,4 - 2,Cittadella
24-02-2024,Cittadella,1 - 2,Catanzaro
28-02-2024,Venezia,2 - 0,Cittadella
03-03-2024,Cittadella,0 - 1,Pisa
09-03-2024,Cosenza,0 - 0,Cittadella
16-03-2024,Cittadella,1 - 1,Modena
01-04-2024,Lecco,1 - 1,Cittadella
06-04-2024,Reggiana,0 - 2,Cittadella
13-04-2024,Cittadella,0 - 0,Ascoli
20-04-2024,Sudtirol,0 - 0,Cittadella
27-04-2024,Cittadella,1 - 1,Feralpisalo
01-05-2024,Como,2 - 1,Cittadella
05-05-2024,Cittadella,1 - 1,Bari
10-05-2024,Cremonese,3 - 0,Cittadella
20-08-2023,Venezia,3 - 0,Como
26-08-2023,Como,2 - 2,Reggiana
03-09-2023,Spezia,0 - 1,Como
17-09-2023,Como,2 - 1,Ternana
24-09-2023,Cittadella,0 - 3,Como
27-09-2023,Como,1 - 0,Sampdoria
01-10-2023,Bari,1 - 1,Como
08-10-2023,Como,1 - 3,Cremonese
20-10-2023,Parma,2 - 1,Como
28-10-2023,Como,1 - 0,Catanzaro
04-11-2023,Pisa,1 - 1,Como
11-11-2023,Ascoli,0 - 1,Como
25-11-2023,Como,2 - 1,Feralpisalo
28-11-2023,Como,0 - 0,Lecco
03-12-2023,Sudtirol,0 - 1,Como
10-12-2023,Como,2 - 1,Modena
16-12-2023,Brescia,2 - 0,Como
23-12-2023,Como,3 - 3,Palermo
26-12-2023,Cosenza,1 - 2,Como
13-01-2024,Como,4 - 0,Spezia
20-01-2024,Reggiana,2 - 2,Como
27-01-2024,Como,0 - 2,Ascoli
03-02-2024,Ternana,0 - 1,Como
09-02-2024,Como,1 - 0,Brescia
17-02-2024,Palermo,3 - 0,Como
24-02-2024,Como,1 - 1,Parma
27-02-2024,Lecco,0 - 3,Como
03-03-2024,Como,2 - 1,Venezia
09-03-2024,Cremonese,2 - 1,Como
16-03-2024,Como,3 - 1,Pisa
01-04-2024,Como,2 - 0,Sudtirol
06-04-2024,Catanzaro,1 - 2,Como
13-04-2024,Como,2 - 1,Bari
20-04-2024,Feralpisalo,2 - 5,Como
27-04-2024,Sampdoria,1 - 1,Como
01-05-2024,Como,2 - 1,Cittadella
05-05-2024,Modena,0 - 0,Como
10-05-2024,Como,1 - 1,Cosenza
19-08-2023,Cosenza,3 - 0,Ascoli
26-08-2023,Venezia,1 - 1,Cosenza
29-08-2023,Cosenza,1 - 2,Modena
03-09-2023,Brescia,1 - 0,Cosenza
16-09-2023,Cosenza,2 - 2,Sudtirol
22-09-2023,Palermo,0 - 1,Cosenza
26-09-2023,Cosenza,1 - 2,Cremonese
30-09-2023,Pisa,1 - 2,Cosenza
07-10-2023,Cosenza,3 - 0,Lecco
22-10-2023,Sampdoria,2 - 0,Cosenza
28-10-2023,Spezia,0 - 0,Cosenza
04-11-2023,Cosenza,1 - 1,Feralpisalo
11-11-2023,Cosenza,2 - 0,Reggiana
26-11-2023,Catanzaro,2 - 0,Cosenza
02-12-2023,Cosenza,1 - 3,Ternana
09-12-2023,Cittadella,2 - 0,Cosenza
16-12-2023,Cosenza,0 - 0,Parma
23-12-2023,Bari,0 - 0,Cosenza
