date,home_team,score,away_team
04-11-2023,Sampdoria,1 - 0,Palermo
11-11-2023,Modena,0 - 2,Sampdoria
24-11-2023,Sampdoria,2 - 1,Spezia
03-12-2023,Brescia,3 - 1,Sampdoria
09-12-2023,Sampdoria,2 - 0,Lecco
16-12-2023,Reggiana,1 - 2,Sampdoria
23-12-2023,Sampdoria,2 - 3,Feralpisalo
26-12-2023,Sampdoria,1 - 1,Bari
14-01-2024,Venezia,5 - 3,Sampdoria
19-01-2024,Sampdoria,0 - 3,Parma
28-01-2024,Cittadella,1 - 2,Sampdoria
03-02-2024,Sampdoria,2 - 2,Modena
10-02-2024,Pisa,2 - 0,Sampdoria
17-02-2024,Sampdoria,1 - 1,Brescia
23-02-2024,Cosenza,1 - 2,Sampdoria
27-02-2024,Sampdoria,1 - 2,Cremonese
03-03-2024,Feralpisalo,1 - 3,Sampdoria
11-03-2024,Sampdoria,2 - 1,Ascoli
16-03-2024,Bari,0 - 1,Sampdoria
01-04-2024,Sampdoria,4 - 1,Ternana
06-04-2024,Palermo,2 - 2,Sampdoria
13-04-2024,Sampdoria,0 - 1,Sudtirol
20-04-2024,Spezia,0 - 0,Sampdoria
27-04-2024,Sampdoria,1 - 1,Como
01-05-2024,Lecco,0 - 1,Sampdoria
05-05-2024,Sampdoria,1 - 0,Reggiana
10-05-2024,Catanzaro,1 - 3,Sampdoria
17-05-2024,Palermo,? - ?,Sampdoria
20-08-2023,Sudtirol,3 - 3,Spezia
30-08-2023,Catanzaro,3 - 0,Spezia
03-09-2023,Spezia,0 - 1,Como
15-09-2023,Venezia,1 - 0,Spezia
23-09-2023,Spezia,1 - 2,Reggiana
26-09-2023,Spezia,0 - 0,Brescia
30-09-2023,Feralpisalo,1 - 2,Spezia
08-10-2023,Spezia,0 - 0,Pisa
23-10-2023,Palermo,2 - 2,Spezia
28-10-2023,Spezia,0 - 0,Cosenza
05-11-2023,Cremonese,3 - 0,Spezia
08-11-2023,Lecco,0 - 0,Spezia
12-11-2023,Spezia,2 - 2,Ternana
24-11-2023,Sampdoria,2 - 1,Spezia
02-12-2023,Spezia,0 - 1,Parma
09-12-2023,Ascoli,1 - 2,Spezia
15-12-2023,Spezia,1 - 0,Bari
23-12-2023,Cittadella,4 - 1,Spezia
26-12-2023,Spezia,1 - 1,Modena
13-01-2024,Como,4 - 0,Spezia
20-01-2024,Spezia,0 - 1,Cremonese
27-01-2024,Pisa,2 - 3,Spezia
03-02-2024,Spezia,1 - 1,Catanzaro
11-02-2024,Ternana,1 - 1,Spezia
17-02-2024,Spezia,4 - 2,Cittadella
25-02-2024,Modena,0 - 0,Spezia
28-02-2024,Spezia,0 - 2,Feralpisalo
03-03-2024,Bari,1 - 1,Spezia
09-03-2024,Spezia,2 - 1,Sudtirol
16-03-2024,Reggiana,0 - 0,Spezia
01-04-2024,Spezia,2 - 1,Ascoli
06-04-2024,Spezia,1 - 1,Lecco
13-04-2024,Parma,2 - 0,Spezia
20-04-2024,Spezia,0 - 0,Sampdoria
27-04-2024,Brescia,0 - 0,Spezia
01-05-2024,Spezia,1 - 0,Palermo
05-05-2024,Cosenza,2 - 2,Spezia
10-05-2024,Spezia,2 - 1,Venezia
20-08-2023,Sudtirol,3 - 3,Spezia
26-08-2023,Feralpisalo,0 - 2,Sudtirol
02-09-2023,Sudtirol,3 - 1,Ascoli
16-09-2023,Cosenza,2 - 2,Sudtirol
23-09-2023,Ternana,1 - 1,Sudtirol
26-09-2023,Sudtirol,0 - 0,Modena
01-10-2023,Palermo,2 - 1,Sudtirol
07-10-2023,Sudtirol,0 - 1,Catanzaro
21-10-2023,Cremonese,0 - 1,Sudtirol
28-10-2023,Sudtirol,3 - 1,Sampdoria
05-11-2023,Parma,2 - 0,Sudtirol
11-11-2023,Sudtirol,1 - 2,Pisa
25-11-2023,Cittadella,2 - 1,Sudtirol
28-11-2023,Sudtirol,1 - 1,Brescia
03-12-2023,Sudtirol,0 - 1,Como
09-12-2023,Bari,2 - 1,Sudtirol
16-12-2023,Venezia,2 - 3,Sudtirol
23-12-2023,Sudtirol,2 - 3,Reggiana
26-12-2023,Lecco,2 - 1,Sudtirol
13-01-2024,Sudtirol,1 - 0,Feralpisalo
20-01-2024,Brescia,1 - 1,Sudtirol
27-01-2024,Sudtirol,0 - 1,Cosenza
04-02-2024,Ascoli,1 - 2,Sudtirol
10-02-2024,Sudtirol,0 - 3,Venezia
17-02-2024,Catanzaro,2 - 2,Sudtirol
24-02-2024,Sudtirol,1 - 0,Bari
27-02-2024,Reggiana,1 - 1,Sudtirol
02-03-2024,Sudtirol,1 - 0,Lecco
09-03-2024,Spezia,2 - 1,Sudtirol
16-03-2024,Sudtirol,3 - 0,Cremonese
01-04-2024,Como,2 - 0,Sudtirol
06-04-2024,Sudtirol,0 - 0,Parma
13-04-2024,Sampdoria,0 - 1,Sudtirol
20-04-2024,Sudtirol,0 - 0,Cittadella
27-04-2024,Modena,1 - 0,Sudtirol
01-05-2024,Sudtirol,4 - 3,Ternana
05-05-2024,Pisa,2 - 2,Sudtirol
10-05-2024,Sudtirol,0 - 1,Palermo
19-08-2023,Ternana,1 - 2,Sampdoria
27-08-2023,Catanzaro,2 - 1,Ternana
30-08-2023,Ternana,0 - 1,Cremonese
03-09-2023,Ternana,0 - 0,Bari
17-09-2023,Como,2 - 1,Ternana
23-09-2023,Ternana,1 - 1,Sudtirol
26-09-2023,Ascoli,2 - 0,Ternana
30-09-2023,Ternana,3 - 0,Reggiana
07-10-2023,Cittadella,2 - 2,Ternana
21-10-2023,Ternana,0 - 1,Brescia
29-10-2023,Modena,2 - 1,Ternana
04-11-2023,Ternana,0 - 1,Venezia
12-11-2023,Spezia,2 - 2,Ternana
26-11-2023,Ternana,1 - 1,Palermo
02-12-2023,Cosenza,1 - 3,Ternana
09-12-2023,Ternana,2 - 1,Feralpisalo
17-12-2023,Lecco,2 - 3,Ternana
23-12-2023,Parma,3 - 1,Ternana
26-12-2023,Ternana,1 - 1,Pisa
13-01-2024,Bari,3 - 1,Ternana
20-01-2024,Ternana,3 - 1,Cittadella
27-01-2024,Venezia,1 - 0,Ternana
03-02-2024,Ternana,0 - 1,Como
11-02-2024,Ternana,1 - 1,Spezia
17-02-2024,Reggiana,0 - 2,Ternana
24-02-2024,Ternana,0 - 0,Lecco
27-02-2024,Palermo,2 - 3,Ternana
02-03-2024,Ternana,1 - 3,Parma
09-03-2024,Pisa,1 - 0,Ternana
16-03-2024,Ternana,1 - 0,Cosenza
01-04-2024,Sampdoria,4 - 1,Ternana
06-04-2024,Ternana,0 - 0,Modena
13-04-2024,Cremonese,1 - 2,Ternana
20-04-2024,Brescia,0 - 0,Ternana
27-04-2024,Ternana,0 - 1,Ascoli
01-05-2024,Sudtirol,4 - 3,Ternana
05-05-2024,Ternana,1 - 0,Catanzaro
10-05-2024,Feralpisalo,0 - 1,Ternana
16-05-2024,Bari,? - ?,Ternana
20-08-2023,Venezia,3 - 0,Como
26-08-2023,Venezia,1 - 1,Cosenza
30-08-2023,Sampdoria,1 - 2,Venezia
03-09-2023,Cittadella,0 - 0,Venezia
15-09-2023,Venezia,1 - 0,Spezia
23-09-2023,Brescia,0 - 0,Venezia
26-09-2023,Venezia,1 - 3,Palermo
30-09-2023,Modena,1 - 3,Venezia
07-10-2023,Venezia,3 - 2,Parma
22-10-2023,Reggiana,1 - 0,Venezia
29-10-2023,Venezia,2 - 1,Pisa
04-11-2023,Ternana,0 - 1,Venezia
10-11-2023,Venezia,2 - 1,Catanzaro
25-11-2023,Bari,0 - 3,Venezia
02-12-2023,Venezia,3 - 1,Ascoli
09-12-2023,Cremonese,1 - 0,Venezia
16-12-2023,Venezia,2 - 3,Sudtirol
23-12-2023,Venezia,2 - 2,Lecco
26-12-2023,Feralpisalo,2 - 2,Venezia
14-01-2024,Venezia,5 - 3,Sampdoria
20-01-2024,Cosenza,4 - 2,Venezia
27-01-2024,Venezia,1 - 0,Ternana
03-02-2024,Parma,2 - 1,Venezia
10-02-2024,Sudtirol,0 - 3,Venezia
18-02-2024,Venezia,2 - 2,Modena
24-02-2024,Pisa,1 - 2,Venezia
28-02-2024,Venezia,2 - 0,Cittadella
03-03-2024,Como,2 - 1,Venezia
10-03-2024,Venezia,3 - 1,Bari
15-03-2024,Palermo,0 - 3,Venezia
01-04-2024,Venezia,2 - 3,Reggiana
07-04-2024,Ascoli,0 - 0,Venezia
14-04-2024,Venezia,2 - 0,Brescia
20-04-2024,Lecco,1 - 2,Venezia
26-04-2024,Venezia,2 - 1,Cremonese
01-05-2024,Catanzaro,3 - 2,Venezia
05-05-2024,Venezia,2 - 1,Feralpisalo
10-05-2024,Spezia,2 - 1,Venezia
